y_true,y_proba
1,0.8294748
1,0.80762094
1,0.84072644
1,0.9459071
1,0.98747754
1,0.8724775
1,0.8611114
1,0.84534526
1,0.9844549
1,0.9932836
1,0.9466488
1,0.91371757
1,0.8347551
0,0.8294201
1,0.980984
1,0.89128315
1,0.9481547
0,0.5188335
1,0.8759677
1,0.96836054
0,0.9053388
1,0.9799365
1,0.9873148
1,0.9402391
1,0.5634719
0,0.8827679
1,0.9451271
0,0.8040904
0,0.87150794
1,0.9702354
1,0.8127092
1,0.97319126
0,0.6887089
0,0.11139761
1,0.73278964
0,0.81196076
1,0.98937
1,0.90050805
1,0.8869178
0,0.20208928
0,0.9762071
1,0.8153982
1,0.9492274
1,0.9902424
1,0.949317
1,0.97837985
0,0.7652538
1,0.67307496
0,0.335883
0,0.053935032
1,0.82746667
1,0.96786904
1,0.9318441
0,0.119305305
1,0.9888332
1,0.9533354
1,0.9797276
1,0.9034994
1,0.69154215
0,0.10898481
1,0.92911905
1,0.611242
1,0.95132977
1,0.9607696
1,0.8073768
1,0.49953872
1,0.9356487
1,0.9673283
1,0.680614
1,0.9829822
0,0.9219529
1,0.9745783
1,0.6891516
0,0.14816545
1,0.9422833
1,0.96652746
1,0.9295216
1,0.98329204
1,0.89533705
1,0.9023524
1,0.6531558
1,0.96308684
0,0.14599924
1,0.7629665
1,0.59424365
1,0.9920242
1,0.8403887
0,0.81418496
1,0.9758661
1,0.58786947
1,0.94631475
1,0.98239785
1,0.870708
0,0.80830127
1,0.7432946
1,0.9505942
1,0.8528367
1,0.60479665
0,0.19172996
1,0.98769844
1,0.90554214
1,0.88292503
1,0.77955914
1,0.91046387
0,0.66258603
1,0.9927598
1,0.9160662
0,0.9062696
1,0.97576016
1,0.92180634
1,0.9638342
0,0.86000746
0,0.923714
1,0.87997544
1,0.9189696
1,0.38466159
0,0.57185155
1,0.9312713
1,0.7850286
1,0.9939912
1,0.95152855
1,0.9130097
0,0.91970086
1,0.6255626
1,0.7780159
1,0.9858408
0,0.17867042
1,0.75833225
1,0.9942332
1,0.6549012
1,0.8568175
1,0.8927039
1,0.9887045
1,0.93137056
0,0.7209452
1,0.91088265
1,0.99613214
1,0.9729241
1,0.9538911
1,0.8923428
0,0.90072685
1,0.6914215
1,0.9753248
1,0.96744406
1,0.59889424
1,0.9943135
1,0.98988056
1,0.6991785
1,0.9600688
1,0.97701937
1,0.94224846
1,0.9440399
1,0.8428784
1,0.62680155
1,0.9480577
1,0.91832703
1,0.8980139
1,0.6592158
1,0.99027467
1,0.96278554
1,0.9908194
1,0.75917953
0,0.759135
1,0.8333483
1,0.97364277
0,0.8563435
1,0.92955744
0,0.36387688
1,0.969849
1,0.9960685
1,0.93696475
1,0.9454776
0,0.7534721
1,0.76101494
0,0.8524735
1,0.97249717
0,0.9522749
1,0.9885074
1,0.86634
1,0.9803797
1,0.9600533
1,0.95800227
0,0.044297844
1,0.99743456
0,0.7204627
0,0.35074222
1,0.9884266
1,0.96436745
0,0.64305884
1,0.9549043
1,0.48004815
1,0.9274829
0,0.3605524
1,0.8310659
1,0.95817274
1,0.9552501
0,0.052459706
1,0.9947017
1,0.9618569
1,0.8099904
1,0.9923109
1,0.7905181
1,0.9231803
0,0.8521566
0,0.11069327
0,0.35055077
1,0.7102569
0,0.8865302
1,0.18494958
1,0.9594675
1,0.9887093
0,0.15729368
0,0.1435885
1,0.94870317
1,0.99425274
1,0.7659419
0,0.19033504
1,0.9267044
1,0.3602222
0,0.8810967
1,0.98340327
1,0.8346725
1,0.617276
1,0.7860983
1,0.8438495
1,0.8983214
1,0.8494928
1,0.9360116
1,0.89308167
1,0.75887674
0,0.77493036
0,0.760614
0,0.8566154
1,0.13827659
1,0.9716681
1,0.9875208
1,0.9485323
0,0.18336941
0,0.13372703
0,0.8492662
1,0.8886325
1,0.9820971
1,0.9744081
1,0.982053
1,0.98530686
0,0.6983577
1,0.8307243
0,0.66047716
0,0.4869229
1,0.9628511
1,0.89942956
0,0.050419435
0,0.7573212
1,0.917969
0,0.12586126
0,0.76308656
1,0.978305
1,0.9578722
1,0.9770709
1,0.93297523
1,0.7422175
0,0.13057742
1,0.7493115
1,0.93534595
1,0.98097056
0,0.26522577
1,0.94241846
1,0.92798173
1,0.19823939
0,0.14921547
1,0.92093337
1,0.9086088
1,0.8645051
1,0.7887249
1,0.9615328
1,0.8113875
1,0.95044345
1,0.7874906
1,0.9256249
0,0.9719588
1,0.9800299
0,0.73387676
1,0.91459334
0,0.70193493
1,0.9630833
0,0.7931418
1,0.9600096
1,0.8934711
1,0.9329234
0,0.07095026
1,0.9897793
1,0.7227672
0,0.9374644
1,0.9261344
1,0.9781821
1,0.9931792
1,0.97890854
0,0.17396705
1,0.822744
0,0.52437514
1,0.9239778
0,0.0746466
1,0.94073856
1,0.14744598
1,0.92861414
0,0.8880762
0,0.7946364
1,0.9750185
1,0.9328517
1,0.8949323
1,0.7037828
1,0.94256544
1,0.81583804
1,0.8431204
0,0.10827991
1,0.9810908
1,0.9865187
